Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2336.595654782092
FDW14,OUT017,2275.220073262024
NCN55,OUT010,309.9057792773781
FDQ58,OUT017,2275.220073262024
FDY38,OUT027,3694.0385576470608
FDH56,OUT046,2336.595654782092
FDL48,OUT018,1995.4987392241385
FDC48,OUT027,3694.0385576470608
FDN33,OUT045,2275.220073262024
FDA36,OUT017,2275.220073262024
FDT44,OUT017,2275.220073262024
FDQ56,OUT045,2275.220073262024
NCC54,OUT019,371.28136079744604
FDU11,OUT049,2336.595654782092
DRL59,OUT013,2336.595654782092
FDM24,OUT049,2336.595654782092
FDI57,OUT045,2275.220073262024
DRC12,OUT018,1995.4987392241385
NCM42,OUT027,3694.0385576470608
FDA46,OUT010,309.9057792773781
FDA31,OUT013,2336.595654782092
NCJ31,OUT035,2336.595654782092
FDG52,OUT046,2336.595654782092
NCL19,OUT019,371.28136079744604
FDS10,OUT035,2336.595654782092
FDX22,OUT010,309.9057792773781
NCF19,OUT035,2336.595654782092
NCE06,OUT046,2336.595654782092
DRC27,OUT046,2336.595654782092
FDE21,OUT035,2336.595654782092
NCR42,OUT019,371.28136079744604
FDX51,OUT018,1995.4987392241385
NCR06,OUT018,1995.4987392241385
FDU31,OUT027,3694.0385576470608
FDU59,OUT017,2275.220073262024
FDR03,OUT027,3694.0385576470608
FDS49,OUT027,3694.0385576470608
FDD48,OUT010,309.9057792773781
NCF18,OUT017,2275.220073262024
NCD43,OUT027,3694.0385576470608
NCD54,OUT018,1995.4987392241385
FDY19,OUT010,309.9057792773781
NCY54,OUT017,2275.220073262024
NCL19,OUT018,1995.4987392241385
FDP23,OUT010,309.9057792773781
FDC26,OUT013,2336.595654782092
FDR14,OUT010,309.9057792773781
NCS41,OUT035,2336.595654782092
FDF41,OUT035,2336.595654782092
FDU34,OUT046,2336.595654782092
DRH11,OUT046,2336.595654782092
FDM03,OUT013,2336.595654782092
FDS31,OUT017,2275.220073262024
FDJ20,OUT017,2275.220073262024
FDV44,OUT027,3694.0385576470608
FDG02,OUT049,2336.595654782092
FDA09,OUT013,2336.595654782092
FDT04,OUT013,2336.595654782092
FDL58,OUT019,371.28136079744604
FDE52,OUT045,2275.220073262024
FDW12,OUT035,2336.595654782092
FDL51,OUT017,2275.220073262024
NCY42,OUT027,3694.0385576470608
FDR07,OUT017,2275.220073262024
FDN40,OUT045,2275.220073262024
FDB35,OUT027,3694.0385576470608
FDA22,OUT017,2275.220073262024
NCL06,OUT046,2336.595654782092
FDI35,OUT013,2336.595654782092
NCW42,OUT045,2275.220073262024
NCX06,OUT049,2336.595654782092
FDC37,OUT027,3694.0385576470608
FDZ14,OUT018,1995.4987392241385
DRG49,OUT049,2336.595654782092
NCG06,OUT045,2275.220073262024
DRC36,OUT045,2275.220073262024
FDV21,OUT019,371.28136079744604
